mode,task,ok,evidence,total,official,urls,sources,elapsed_ms,error
advanced,p-code-01,true,3,3,true,8,8,3603,""
advanced,p-code-04,true,3,3,true,8,8,1870,""
advanced,p-code-05,true,1,2,true,8,8,2109,""
advanced,p-docs-01,true,3,3,true,8,8,1671,""
advanced,p-docs-06,true,2,2,true,8,8,2238,""
advanced,p-fresh-01,true,2,2,true,8,8,2044,""
advanced,p-fresh-02,true,2,2,true,8,8,2548,""
advanced,p-gh-01,true,1,2,true,8,8,4319,""
advanced,p-gh-03,true,2,2,false,8,8,2289,""
advanced,p-web-01,true,2,2,true,8,8,2114,""
advanced,p-research-01,true,3,3,true,8,8,2432,""
advanced,p-research-05,true,2,2,true,8,8,2242,""
basic,p-code-01,true,3,3,true,8,8,1244,""
basic,p-code-04,true,3,3,true,8,8,1186,""
basic,p-code-05,true,0,2,true,8,8,912,""
basic,p-docs-01,true,3,3,true,8,8,871,""
basic,p-docs-06,true,1,2,true,8,8,994,""
basic,p-fresh-01,true,2,2,true,8,8,829,""
basic,p-fresh-02,true,2,2,true,8,8,887,""
basic,p-gh-01,true,1,2,true,8,8,949,""
basic,p-gh-03,true,2,2,true,8,8,861,""
basic,p-web-01,true,2,2,false,8,8,943,""
basic,p-research-01,true,3,3,false,8,8,1547,""
basic,p-research-05,true,2,2,true,8,8,1177,""
fast,p-code-01,true,3,3,true,8,8,1009,""
fast,p-code-04,true,3,3,true,8,8,895,""
fast,p-code-05,true,0,2,true,8,8,964,""
fast,p-docs-01,true,3,3,true,8,8,1265,""
fast,p-docs-06,true,1,2,true,8,8,1097,""
fast,p-fresh-01,true,2,2,true,8,8,819,""
fast,p-fresh-02,true,2,2,true,8,8,1090,""
fast,p-gh-01,true,1,2,true,8,8,886,""
fast,p-gh-03,true,2,2,true,8,8,824,""
fast,p-web-01,true,2,2,false,8,8,1024,""
fast,p-research-01,true,3,3,false,8,8,945,""
fast,p-research-05,true,2,2,true,8,8,971,""
turbo,p-code-01,true,3,3,true,8,8,567,""
turbo,p-code-04,true,3,3,true,8,8,955,""
turbo,p-code-05,true,1,2,true,7,7,578,""
turbo,p-docs-01,true,3,3,true,8,8,534,""
turbo,p-docs-06,true,2,2,true,8,8,704,""
turbo,p-fresh-01,true,2,2,true,8,8,691,""
turbo,p-fresh-02,true,2,2,true,8,8,569,""
turbo,p-gh-01,true,1,2,true,8,8,665,""
turbo,p-gh-03,true,2,2,true,8,8,574,""
turbo,p-web-01,true,2,2,false,8,8,594,""
turbo,p-research-01,true,3,3,true,8,8,629,""
turbo,p-research-05,true,2,2,true,8,8,589,""
