provider,profile,task,ok,evidence,official,empty,elapsed_ms,sources,error
exa,auto,ab-code-04,true,true,true,false,2774,8,""
exa,auto,ab-code-03,true,true,false,false,1401,8,""
exa,auto,ab-code-05,true,true,true,false,987,8,""
exa,auto,ab-code-01,true,false,true,false,1059,8,""
exa,auto,ab-gh-01,true,true,true,false,2038,8,""
exa,auto,ab-fresh-01,true,true,true,false,1402,8,""
exa,auto,ab-web-01,true,true,true,false,1583,8,""
exa,auto,ab-web-02,true,true,true,false,1834,8,""
exa,auto,ab-docs-01,true,true,true,false,1005,8,""
exa,auto,ab-research-01,true,true,false,false,1336,8,""
exa,auto,ab-research-05,true,true,true,false,1039,8,""
exa,auto,ab-research-02,true,true,true,false,1290,8,""
exa,fast,ab-code-04,true,true,true,false,978,8,""
exa,fast,ab-code-03,true,true,false,false,857,8,""
exa,fast,ab-code-05,true,true,true,false,882,8,""
exa,fast,ab-code-01,true,false,true,false,880,8,""
exa,fast,ab-gh-01,true,true,true,false,790,8,""
exa,fast,ab-fresh-01,true,true,true,false,873,8,""
exa,fast,ab-web-01,true,true,true,false,947,8,""
exa,fast,ab-web-02,true,true,true,false,803,8,""
exa,fast,ab-docs-01,true,true,true,false,818,8,""
exa,fast,ab-research-01,true,true,false,false,856,8,""
exa,fast,ab-research-05,true,true,true,false,827,8,""
exa,fast,ab-research-02,true,true,false,false,881,8,""
exa,deep,ab-code-04,true,true,true,false,3212,6,""
exa,deep,ab-code-03,true,true,false,false,3480,6,""
exa,deep,ab-code-05,true,true,true,false,3638,8,""
exa,deep,ab-code-01,true,true,true,false,3852,8,""
exa,deep,ab-gh-01,true,true,true,false,5201,8,""
exa,deep,ab-fresh-01,true,true,true,false,3446,6,""
exa,deep,ab-web-01,true,true,true,false,4369,8,""
exa,deep,ab-web-02,true,true,true,false,4144,8,""
exa,deep,ab-docs-01,true,true,true,false,4831,8,""
exa,deep,ab-research-01,true,true,true,false,6756,8,""
exa,deep,ab-research-05,true,true,true,false,4804,8,""
exa,deep,ab-research-02,true,true,true,false,5300,8,""
tavily,basic,ab-code-04,true,true,true,false,1125,8,""
tavily,basic,ab-code-03,true,true,false,false,350,8,""
tavily,basic,ab-code-05,true,true,true,false,367,8,""
tavily,basic,ab-code-01,true,false,false,false,367,8,""
tavily,basic,ab-gh-01,true,true,false,false,3572,8,""
tavily,basic,ab-fresh-01,true,true,true,false,470,8,""
tavily,basic,ab-web-01,true,true,true,false,371,8,""
tavily,basic,ab-web-02,true,true,true,false,461,8,""
tavily,basic,ab-docs-01,true,true,true,false,1209,8,""
tavily,basic,ab-research-01,true,true,false,false,373,8,""
tavily,basic,ab-research-05,true,true,true,false,385,8,""
tavily,basic,ab-research-02,true,true,true,false,373,8,""
tavily,advanced,ab-code-04,true,true,true,false,3305,8,""
tavily,advanced,ab-code-03,true,true,false,false,2814,8,""
tavily,advanced,ab-code-05,true,true,true,false,4599,8,""
tavily,advanced,ab-code-01,true,false,false,false,4959,8,""
tavily,advanced,ab-gh-01,true,false,false,false,4923,8,""
tavily,advanced,ab-fresh-01,true,true,true,false,2357,8,""
tavily,advanced,ab-web-01,true,true,true,false,5567,8,""
tavily,advanced,ab-web-02,true,true,true,false,4648,8,""
tavily,advanced,ab-docs-01,true,true,true,false,5406,8,""
tavily,advanced,ab-research-01,true,true,false,false,4117,8,""
tavily,advanced,ab-research-05,true,true,true,false,5317,8,""
tavily,advanced,ab-research-02,true,true,true,false,3697,8,""
tavily,fast,ab-code-04,true,true,false,false,1540,8,""
tavily,fast,ab-code-03,true,true,true,false,681,8,""
tavily,fast,ab-code-05,true,true,false,false,767,8,""
tavily,fast,ab-code-01,true,false,false,false,784,8,""
tavily,fast,ab-gh-01,true,false,false,false,793,8,""
tavily,fast,ab-fresh-01,true,true,false,false,805,8,""
tavily,fast,ab-web-01,true,true,false,false,861,8,""
tavily,fast,ab-web-02,true,true,false,false,1523,8,""
tavily,fast,ab-docs-01,true,true,false,false,1731,8,""
tavily,fast,ab-research-01,true,true,false,false,1918,8,""
tavily,fast,ab-research-05,true,true,true,false,1053,8,""
tavily,fast,ab-research-02,true,true,false,false,866,8,""
brave,auto,ab-code-04,true,true,true,false,1396,8,""
brave,auto,ab-code-03,true,true,true,false,759,8,""
brave,auto,ab-code-05,true,true,true,false,774,9,""
brave,auto,ab-code-01,true,true,false,false,639,7,""
brave,auto,ab-gh-01,true,false,false,false,662,4,""
brave,auto,ab-fresh-01,true,true,true,false,689,10,""
brave,auto,ab-web-01,true,true,false,false,813,8,""
brave,auto,ab-web-02,true,true,true,false,796,7,""
brave,auto,ab-docs-01,true,true,true,false,762,8,""
brave,auto,ab-research-01,true,true,false,false,748,8,""
brave,auto,ab-research-05,true,true,true,false,780,7,""
brave,auto,ab-research-02,true,true,true,false,656,7,""
brave,web-search,ab-code-04,true,true,true,false,617,8,""
brave,web-search,ab-code-03,true,true,false,false,657,8,""
brave,web-search,ab-code-05,true,true,true,false,682,7,""
brave,web-search,ab-code-01,true,false,true,false,848,8,""
brave,web-search,ab-gh-01,true,false,false,false,736,8,""
brave,web-search,ab-fresh-01,true,true,true,false,883,8,""
